name,date,time,D,E,F,G,H
CE 10750,2018/07/18,10:30,394,394,394,394,75
CE 10750,2018/07/18,10:55,394,394,394,394,75
CE 10750,2018/07/20,10:51,371.5,371.5,371.5,371.5,75
CE 10750,2018/07/23,14:23,400,400,400,400,75
CE 10750,2018/07/23,14:37,388.85,388.85,388.85,388.85,75
CE 10750,2018/07/25,10:11,425,425,425,425,450
CE 10750,2018/07/25,11:10,425,425,425,425,150
CE 10750,2018/07/25,11:15,430,430,430,430,600
CE 10750,2018/07/25,11:18,435,435,435,435,750
CE 10750,2018/07/25,11:20,440,440,440,440,750
CE 10750,2018/07/25,11:21,440,440,440,440,300
CE 10750,2018/07/25,11:22,440,440,440,440,300
CE 10750,2018/07/25,11:39,445,445,445,445,375
CE 10750,2018/07/25,12:14,460,460,460,460,75
CE 10750,2018/07/25,12:26,464,464,464,464,150
CE 10750,2018/07/25,12:28,462,462,462,462,225
CE 10750,2018/07/25,12:30,465,465,465,465,75
CE 10750,2018/07/25,13:00,473,473,473,473,375
CE 10750,2018/07/25,13:26,466,466,466,466,225
CE 10750,2018/07/25,15:26,429.25,429.25,429.25,429.25,150
CE 10750,2018/07/26,09:46,461.75,461.75,461.75,461.75,75
CE 10750,2018/07/26,09:47,479,479,479,479,75
CE 10750,2018/07/26,10:45,470,470,470,470,75
CE 10750,2018/07/26,10:57,480,480,480,480,75
CE 10750,2018/07/26,11:04,480,480,480,480,150
CE 10750,2018/07/26,11:40,470,470,470,470,75
CE 10750,2018/07/26,12:33,486,486,486,486,300
CE 10750,2018/07/26,12:36,471.55,471.55,471.55,471.55,150
CE 10750,2018/07/26,12:38,469.5,469.5,469.5,469.5,150
CE 10750,2018/07/26,12:41,468.1,468.1,468.1,468.1,150
CE 10750,2018/07/26,12:57,468.6,468.6,468.6,468.6,150
CE 10750,2018/07/26,12:58,468.15,468.15,468.15,468.15,150
CE 10750,2018/07/26,13:11,481,481,481,481,75
CE 10750,2018/07/26,13:52,463.15,463.15,463.15,463.15,150
CE 10750,2018/07/26,14:02,463.75,463.75,463.75,463.75,150
