name,date,time,D
CE 11250,2018/07/02,09:18,4.95
CE 11250,2018/07/02,09:30,4.1
CE 11250,2018/07/02,10:26,4.1
CE 11250,2018/07/02,10:27,5.0
CE 11250,2018/07/02,10:37,4.55
CE 11250,2018/07/02,11:05,4.0
CE 11250,2018/07/02,11:10,5.0
CE 11250,2018/07/02,11:12,4.5
CE 11250,2018/07/02,11:50,4.5
CE 11250,2018/07/02,12:04,3.1
CE 11250,2018/07/02,12:25,4.5
CE 11250,2018/07/02,13:23,4.5
CE 11250,2018/07/02,13:46,4.45
CE 11250,2018/07/02,13:47,4.5
CE 11250,2018/07/02,13:52,4.5
CE 11250,2018/07/02,14:08,4.1
CE 11250,2018/07/02,14:37,4.15
CE 11250,2018/07/02,15:15,4.95
CE 11250,2018/07/02,15:29,4.55
CE 11250,2018/07/02,15:30,4.55
CE 11250,2018/07/03,10:08,4.65
CE 11250,2018/07/03,10:15,4.5
CE 11250,2018/07/03,10:31,4.15
CE 11250,2018/07/03,10:39,4.05
CE 11250,2018/07/03,11:16,3.6
CE 11250,2018/07/03,12:41,3.55
CE 11250,2018/07/03,13:45,4.9
CE 11250,2018/07/03,14:33,4.8
CE 11250,2018/07/03,15:00,4.5
CE 11250,2018/07/04,10:05,4.0
CE 11250,2018/07/04,12:04,4.4
CE 11250,2018/07/04,12:17,4.45
CE 11250,2018/07/04,12:40,4.45
CE 11250,2018/07/04,12:47,4.45
CE 11250,2018/07/04,13:20,4.4
CE 11250,2018/07/04,13:41,4.4
CE 11250,2018/07/04,14:11,4.4
CE 11250,2018/07/04,14:37,4.5
CE 11250,2018/07/04,14:57,4.5
CE 11250,2018/07/04,15:00,4.3
CE 11250,2018/07/04,15:05,4.25
CE 11250,2018/07/04,15:19,4.95
CE 11250,2018/07/04,15:21,4.5
CE 11250,2018/07/04,15:25,4.5
CE 11250,2018/07/04,15:27,4.5
CE 11250,2018/07/05,10:35,4.5
CE 11250,2018/07/05,10:55,3.55
CE 11250,2018/07/05,12:17,3.75
CE 11250,2018/07/05,12:39,4.8
CE 11250,2018/07/05,13:03,4.7
CE 11250,2018/07/05,13:08,4.95
CE 11250,2018/07/05,13:11,5.0
CE 11250,2018/07/05,13:19,4.95
CE 11250,2018/07/05,13:21,3.75
CE 11250,2018/07/05,14:12,5.0
CE 11250,2018/07/05,14:32,3.85
CE 11250,2018/07/05,15:18,4.95
CE 11250,2018/07/05,15:26,4.85
CE 11250,2018/07/05,15:28,4.75
CE 11250,2018/07/05,15:29,5.5
CE 11250,2018/07/05,15:30,5.5
CE 11250,2018/07/06,09:32,3.5
CE 11250,2018/07/06,09:48,4.3
CE 11250,2018/07/06,10:05,5.35
CE 11250,2018/07/06,10:07,5.25
CE 11250,2018/07/06,10:42,5.25
CE 11250,2018/07/06,10:45,5.15
CE 11250,2018/07/06,11:12,5.5
CE 11250,2018/07/06,11:13,5.8
CE 11250,2018/07/06,11:28,5.5
CE 11250,2018/07/06,11:32,5.1
CE 11250,2018/07/06,11:49,5.05
CE 11250,2018/07/06,12:06,4.3
CE 11250,2018/07/06,12:48,5.45
CE 11250,2018/07/06,13:10,5.45
CE 11250,2018/07/06,14:37,5.65
CE 11250,2018/07/06,14:45,5.15
CE 11250,2018/07/06,15:02,5.15
CE 11250,2018/07/06,15:03,5.15
CE 11250,2018/07/06,15:06,5.15
CE 11250,2018/07/06,15:09,5.6
CE 11250,2018/07/06,15:18,5.2
CE 11250,2018/07/06,15:19,5.2
CE 11250,2018/07/06,15:23,5.2
CE 11250,2018/07/06,15:25,5.0
CE 11250,2018/07/06,15:30,5.0
CE 11250,2018/07/09,09:24,5.0
CE 11250,2018/07/09,09:40,5.0
CE 11250,2018/07/09,09:54,5.0
CE 11250,2018/07/09,10:05,5.75
