name,date,time,D,E,F,G,H
PE 11550,2018/09/21,11:10,225.5,225.5,225.5,225.5,750
PE 11550,2018/09/21,11:12,228.6,228.6,228.6,228.6,750
PE 11550,2018/09/21,11:23,229.1,229.1,229.1,229.1,150
PE 11550,2018/09/21,11:43,259,259.85,259,259.85,600
PE 11550,2018/09/21,11:45,261.4,261.4,261.4,261.4,300
PE 11550,2018/09/21,11:49,262.55,262.55,262.55,262.55,75
PE 11550,2018/09/21,11:52,264.1,264.15,264,264,525
PE 11550,2018/09/21,11:53,264,268.25,264,268.25,750
PE 11550,2018/09/21,11:56,273.8,273.8,273.6,273.6,450
PE 11550,2018/09/21,12:03,273,273,273,273,1425
PE 11550,2018/09/21,12:04,273,273,273,273,75
PE 11550,2018/09/21,12:44,340.95,340.95,340.95,340.95,150
PE 11550,2018/09/21,14:00,398.6,398.6,398.6,398.6,75
PE 11550,2018/09/25,14:07,570,570,570,570,75
PE 11550,2018/09/27,09:49,460,460,455,455,300
PE 11550,2018/09/27,09:50,457,457,455,455,150
PE 11550,2018/09/27,09:51,452,452,452,452,75
PE 11550,2018/09/27,10:12,445,445,445,445,150
PE 11550,2018/09/27,15:02,530,530,530,530,675
PE 11550,2018/09/27,15:26,537.25,537.25,537.25,537.25,300
PE 11550,2018/09/27,15:30,537.25,537.25,532.25,532.25,0
PE 11550,2018/09/28,09:23,491.45,491.45,488.4,488.4,300
PE 11550,2018/09/28,09:28,530.85,530.85,530.85,530.85,75
PE 11550,2018/09/28,09:43,534.75,534.75,534.75,534.75,75
PE 11550,2018/09/28,13:54,583.75,583.75,583.75,583.75,75
PE 11550,2018/09/28,14:06,629.4,629.4,629.4,629.4,75
PE 11550,2018/10/01,13:26,610.35,610.35,610.35,610.35,75
PE 11550,2018/10/01,14:17,552.2,552.2,552.2,552.2,75
PE 11550,2018/10/05,09:16,1007.35,1007.35,1007.35,1007.35,75
PE 11550,2018/10/05,09:58,978.8,978.8,978.8,978.8,150
PE 11550,2018/10/05,10:29,1022.25,1022.25,1022.25,1022.25,75
PE 11550,2018/10/05,14:33,1133.35,1133.35,1133.35,1133.35,75
PE 11550,2018/10/05,15:13,1199.05,1199.05,1199.05,1199.05,75
PE 11550,2018/10/08,09:19,1274.4,1274.4,1270.55,1270.55,300
PE 11550,2018/10/10,10:38,1100,1100,1100,1100,75
PE 11550,2018/10/17,11:58,944.65,944.65,944.55,944.55,150
PE 11550,2018/10/17,11:59,945.45,945.45,945.15,945.15,150
PE 11550,2018/10/17,12:01,935.6,935.6,934.55,934.55,150
PE 11550,2018/10/17,12:02,933.4,933.4,932.6,932.8,300
PE 11550,2018/10/17,12:18,918.5,918.5,911.85,917.35,525
PE 11550,2018/10/17,12:19,920,920,920,920,75
PE 11550,2018/10/17,12:22,915.95,915.95,915.3,915.3,150
PE 11550,2018/10/17,12:24,920.65,920.65,920.65,920.65,75
PE 11550,2018/10/17,12:25,920.1,925.9,919.5,924.6,1425
PE 11550,2018/10/17,12:26,924.9,924.9,924.9,924.9,75
PE 11550,2018/10/23,12:14,1390.95,1390.95,1390.95,1390.95,750
PE 11550,2018/10/23,12:19,1361.05,1361.05,1360.85,1361.05,225
PE 11550,2018/10/23,12:20,1361.05,1361.05,1361.05,1361.05,75
PE 11550,2018/10/23,13:02,1404.7,1404.7,1404.7,1404.7,150
PE 11550,2018/10/23,13:07,1371.45,1371.45,1371.45,1371.45,375
PE 11550,2018/10/23,13:19,1392,1392,1392,1392,75
PE 11550,2018/10/23,14:43,1396.2,1396.2,1396.2,1396.2,150
PE 11550,2018/10/24,13:27,1344.65,1344.65,1344.65,1344.65,750
PE 11550,2018/10/25,12:51,1399.1,1399.1,1399.1,1399.1,150
PE 11550,2018/10/25,13:22,1400,1400,1400,1400,150
PE 11550,2018/10/25,14:56,1402,1402,1402,1402,675
