name,date,time,D
CE 11000,2019/04/01,09:15,744.65
CE 11000,2019/04/01,09:16,747.0
CE 11000,2019/04/01,09:17,741.75
CE 11000,2019/04/01,09:18,749.8
CE 11000,2019/04/01,09:19,751.9
CE 11000,2019/04/01,09:20,755.0
CE 11000,2019/04/01,09:21,755.0
CE 11000,2019/04/01,09:22,762.0
CE 11000,2019/04/01,09:23,759.0
CE 11000,2019/04/01,09:24,758.05
CE 11000,2019/04/01,09:25,760.45
CE 11000,2019/04/01,09:26,762.95
CE 11000,2019/04/01,09:27,763.95
CE 11000,2019/04/01,09:28,757.0
CE 11000,2019/04/01,09:29,757.0
CE 11000,2019/04/01,09:31,757.5
CE 11000,2019/04/01,09:32,755.0
CE 11000,2019/04/01,09:33,757.0
CE 11000,2019/04/01,09:34,755.0
CE 11000,2019/04/01,09:35,754.65
CE 11000,2019/04/01,09:36,754.0
CE 11000,2019/04/01,09:37,756.5
CE 11000,2019/04/01,09:38,756.0
CE 11000,2019/04/01,09:39,756.0
CE 11000,2019/04/01,09:40,755.7
CE 11000,2019/04/01,09:41,756.5
CE 11000,2019/04/01,09:42,753.05
CE 11000,2019/04/01,09:43,755.0
CE 11000,2019/04/01,09:44,753.0
CE 11000,2019/04/01,09:45,753.8
CE 11000,2019/04/01,09:46,751.0
CE 11000,2019/04/01,09:47,754.0
CE 11000,2019/04/01,09:48,753.95
CE 11000,2019/04/01,09:49,755.9
CE 11000,2019/04/01,09:51,762.0
CE 11000,2019/04/01,09:52,762.95
CE 11000,2019/04/01,09:53,765.0
CE 11000,2019/04/01,09:54,764.0
CE 11000,2019/04/01,09:56,763.0
CE 11000,2019/04/01,09:57,763.0
CE 11000,2019/04/01,09:59,764.0
CE 11000,2019/04/01,10:00,764.0
CE 11000,2019/04/01,10:01,763.0
CE 11000,2019/04/01,10:02,763.5
CE 11000,2019/04/01,10:03,768.0
CE 11000,2019/04/01,10:04,766.0
CE 11000,2019/04/01,10:05,770.0
CE 11000,2019/04/01,10:06,773.5
CE 11000,2019/04/01,10:07,774.05
CE 11000,2019/04/01,10:08,775.0
CE 11000,2019/04/01,10:09,775.0
CE 11000,2019/04/01,10:10,775.0
CE 11000,2019/04/01,10:11,774.0
CE 11000,2019/04/01,10:12,774.0
CE 11000,2019/04/01,10:13,774.25
CE 11000,2019/04/01,10:14,779.25
CE 11000,2019/04/01,10:15,779.25
CE 11000,2019/04/01,10:16,781.0
CE 11000,2019/04/01,10:17,782.8
CE 11000,2019/04/01,10:18,783.65
CE 11000,2019/04/01,10:19,783.0
CE 11000,2019/04/01,10:20,786.6
CE 11000,2019/04/01,10:21,788.15
CE 11000,2019/04/01,10:22,786.3
CE 11000,2019/04/01,10:23,789.7
CE 11000,2019/04/01,10:24,791.2
CE 11000,2019/04/01,10:25,792.6
CE 11000,2019/04/01,10:26,789.3
CE 11000,2019/04/01,10:27,788.6
CE 11000,2019/04/01,10:28,786.45
CE 11000,2019/04/01,10:29,788.0
CE 11000,2019/04/01,10:30,784.0
CE 11000,2019/04/01,10:31,784.0
CE 11000,2019/04/01,10:32,783.0
CE 11000,2019/04/01,10:33,785.25
CE 11000,2019/04/01,10:34,783.5
CE 11000,2019/04/01,10:35,784.0
CE 11000,2019/04/01,10:36,782.95
CE 11000,2019/04/01,10:37,780.0
CE 11000,2019/04/01,10:38,781.0
CE 11000,2019/04/01,10:39,778.0
CE 11000,2019/04/01,10:40,777.0
CE 11000,2019/04/01,10:41,776.0
CE 11000,2019/04/01,10:42,776.0
CE 11000,2019/04/01,10:44,778.0
CE 11000,2019/04/01,10:45,777.0
CE 11000,2019/04/01,10:48,776.0
