name,date,time,D
NIFTY11650CE,2019/08/01,09:15,13.1
NIFTY11650CE,2019/08/01,09:19,11.25
NIFTY11650CE,2019/08/01,09:22,10.3
NIFTY11650CE,2019/08/01,09:23,11.8
NIFTY11650CE,2019/08/01,09:25,10.8
NIFTY11650CE,2019/08/01,09:29,10.15
NIFTY11650CE,2019/08/01,09:30,11.0
NIFTY11650CE,2019/08/01,09:31,11.0
NIFTY11650CE,2019/08/01,09:34,11.0
NIFTY11650CE,2019/08/01,09:41,10.25
NIFTY11650CE,2019/08/01,09:42,10.3
NIFTY11650CE,2019/08/01,09:45,10.0
NIFTY11650CE,2019/08/01,09:49,9.75
NIFTY11650CE,2019/08/01,09:54,9.05
NIFTY11650CE,2019/08/01,09:56,9.4
NIFTY11650CE,2019/08/01,10:06,9.1
NIFTY11650CE,2019/08/01,10:07,9.05
NIFTY11650CE,2019/08/01,10:09,8.9
NIFTY11650CE,2019/08/01,10:11,9.1
NIFTY11650CE,2019/08/01,10:15,9.0
NIFTY11650CE,2019/08/01,10:19,8.8
NIFTY11650CE,2019/08/01,10:26,9.65
NIFTY11650CE,2019/08/01,10:28,9.0
NIFTY11650CE,2019/08/01,10:29,9.0
NIFTY11650CE,2019/08/01,10:33,9.0
NIFTY11650CE,2019/08/01,10:34,8.75
NIFTY11650CE,2019/08/01,10:39,8.65
NIFTY11650CE,2019/08/01,10:40,8.7
NIFTY11650CE,2019/08/01,10:42,8.95
NIFTY11650CE,2019/08/01,10:44,8.75
NIFTY11650CE,2019/08/01,10:45,9.0
NIFTY11650CE,2019/08/01,10:46,9.0
NIFTY11650CE,2019/08/01,11:01,8.05
NIFTY11650CE,2019/08/01,11:02,8.0
NIFTY11650CE,2019/08/01,11:06,9.0
NIFTY11650CE,2019/08/01,11:07,9.0
NIFTY11650CE,2019/08/01,11:09,9.0
NIFTY11650CE,2019/08/01,11:15,9.0
NIFTY11650CE,2019/08/01,11:17,9.2
NIFTY11650CE,2019/08/01,11:19,9.2
NIFTY11650CE,2019/08/01,11:21,9.0
NIFTY11650CE,2019/08/01,11:22,9.05
NIFTY11650CE,2019/08/01,11:31,8.6
NIFTY11650CE,2019/08/01,11:32,9.75
NIFTY11650CE,2019/08/01,11:33,8.8
NIFTY11650CE,2019/08/01,11:42,8.95
NIFTY11650CE,2019/08/01,12:04,9.0
NIFTY11650CE,2019/08/01,12:05,9.0
NIFTY11650CE,2019/08/01,12:38,9.0
NIFTY11650CE,2019/08/01,12:39,9.0
NIFTY11650CE,2019/08/01,13:20,8.85
NIFTY11650CE,2019/08/01,13:29,9.1
NIFTY11650CE,2019/08/01,13:37,9.1
NIFTY11650CE,2019/08/01,13:38,9.1
NIFTY11650CE,2019/08/01,13:44,8.6
NIFTY11650CE,2019/08/01,13:45,8.55
NIFTY11650CE,2019/08/01,13:52,8.5
NIFTY11650CE,2019/08/01,13:55,8.25
NIFTY11650CE,2019/08/01,13:57,8.75
NIFTY11650CE,2019/08/01,13:59,8.2
NIFTY11650CE,2019/08/01,14:00,8.1
NIFTY11650CE,2019/08/01,14:02,8.0
NIFTY11650CE,2019/08/01,14:03,8.0
NIFTY11650CE,2019/08/01,14:05,8.7
NIFTY11650CE,2019/08/01,14:06,8.7
NIFTY11650CE,2019/08/01,14:08,7.95
NIFTY11650CE,2019/08/01,14:09,9.7
NIFTY11650CE,2019/08/01,14:13,8.5
NIFTY11650CE,2019/08/01,14:23,8.5
NIFTY11650CE,2019/08/01,14:36,7.8
NIFTY11650CE,2019/08/01,14:44,7.75
NIFTY11650CE,2019/08/01,14:45,7.75
NIFTY11650CE,2019/08/01,14:46,7.75
NIFTY11650CE,2019/08/01,14:47,7.4
NIFTY11650CE,2019/08/01,14:49,9.0
NIFTY11650CE,2019/08/01,15:04,9.0
NIFTY11650CE,2019/08/01,15:05,9.0
NIFTY11650CE,2019/08/01,15:06,9.0
NIFTY11650CE,2019/08/01,15:07,9.0
NIFTY11650CE,2019/08/01,15:08,9.0
NIFTY11650CE,2019/08/01,15:14,9.95
NIFTY11650CE,2019/08/01,15:19,9.85
NIFTY11650CE,2019/08/01,15:28,10.0
NIFTY11650CE,2019/08/01,15:29,9.95
NIFTY11650CE,2019/08/02,09:21,7.25
NIFTY11650CE,2019/08/02,09:23,9.5
NIFTY11650CE,2019/08/02,09:27,9.4
NIFTY11650CE,2019/08/02,09:28,8.0
NIFTY11650CE,2019/08/02,09:29,7.95
NIFTY11650CE,2019/08/02,09:33,7.3
NIFTY11650CE,2019/08/02,09:35,9.2
NIFTY11650CE,2019/08/02,09:36,8.0
NIFTY11650CE,2019/08/02,09:51,8.85
NIFTY11650CE,2019/08/02,09:55,20.2
NIFTY11650CE,2019/08/02,09:56,8.5
NIFTY11650CE,2019/08/02,10:11,8.2
NIFTY11650CE,2019/08/02,10:14,9.2
NIFTY11650CE,2019/08/02,10:35,8.0
NIFTY11650CE,2019/08/02,10:42,7.6
NIFTY11650CE,2019/08/02,10:48,8.75
NIFTY11650CE,2019/08/02,10:49,8.05
NIFTY11650CE,2019/08/02,10:52,7.6
NIFTY11650CE,2019/08/02,10:54,7.55
NIFTY11650CE,2019/08/02,11:30,8.8
NIFTY11650CE,2019/08/02,11:57,8.8
NIFTY11650CE,2019/08/02,12:00,9.5
