name,date,time,D
NIFTY12850CE,2020/01/09,14:48,66.45
NIFTY12850CE,2020/01/10,15:29,76.4
NIFTY12850CE,2020/01/17,14:54,51.25
NIFTY12850CE,2020/01/20,14:58,48.0
NIFTY12850CE,2020/01/21,11:07,35.85
NIFTY12850CE,2020/01/22,09:21,39.3
NIFTY12850CE,2020/01/22,10:07,40.0
NIFTY12850CE,2020/01/22,11:57,31.0
NIFTY12850CE,2020/01/22,15:18,30.55
NIFTY12850CE,2020/01/22,15:21,32.0
NIFTY12850CE,2020/01/23,13:09,36.6
NIFTY12850CE,2020/01/23,13:12,34.0
NIFTY12850CE,2020/01/23,14:56,35.0
NIFTY12850CE,2020/01/23,15:13,29.35
NIFTY12850CE,2020/01/24,14:27,40.0
NIFTY12850CE,2020/01/24,14:28,39.9
NIFTY12850CE,2020/01/24,14:32,38.55
NIFTY12850CE,2020/01/24,15:17,38.55
NIFTY12850CE,2020/01/24,15:28,36.15
NIFTY12850CE,2020/01/27,13:35,33.0
NIFTY12850CE,2020/01/27,14:35,33.0
NIFTY12850CE,2020/01/27,14:52,32.0
NIFTY12850CE,2020/01/27,14:54,33.85
NIFTY12850CE,2020/01/27,15:27,33.85
NIFTY12850CE,2020/01/28,09:18,9.25
NIFTY12850CE,2020/01/28,09:21,9.25
NIFTY12850CE,2020/01/28,09:22,26.95
NIFTY12850CE,2020/01/28,09:24,26.0
NIFTY12850CE,2020/01/28,09:46,26.0
NIFTY12850CE,2020/01/28,09:50,27.1
NIFTY12850CE,2020/01/28,10:11,27.0
NIFTY12850CE,2020/01/28,13:29,24.45
NIFTY12850CE,2020/01/28,14:57,24.45
NIFTY12850CE,2020/01/29,10:55,17.55
NIFTY12850CE,2020/01/29,12:01,21.65
NIFTY12850CE,2020/01/29,13:36,21.65
NIFTY12850CE,2020/01/29,13:44,19.5
NIFTY12850CE,2020/01/29,13:53,19.5
NIFTY12850CE,2020/01/30,12:24,11.1
NIFTY12850CE,2020/01/30,12:50,12.05
NIFTY12850CE,2020/01/30,13:15,13.0
NIFTY12850CE,2020/01/30,14:09,13.0
NIFTY12850CE,2020/01/30,14:32,16.55
NIFTY12850CE,2020/01/30,14:34,16.35
NIFTY12850CE,2020/01/30,14:47,16.35
NIFTY12850CE,2020/01/30,14:59,16.35
NIFTY12850CE,2020/01/30,15:09,16.35
NIFTY12850CE,2020/01/30,15:17,15.0
NIFTY12850CE,2020/01/30,15:19,15.0
NIFTY12850CE,2020/01/30,15:23,13.05
NIFTY12850CE,2020/01/31,09:15,25.0
NIFTY12850CE,2020/01/31,09:16,19.9
NIFTY12850CE,2020/01/31,09:17,19.8
NIFTY12850CE,2020/01/31,09:18,17.65
NIFTY12850CE,2020/01/31,09:19,14.5
NIFTY12850CE,2020/01/31,09:21,13.45
NIFTY12850CE,2020/01/31,09:22,14.0
NIFTY12850CE,2020/01/31,09:23,16.45
NIFTY12850CE,2020/01/31,09:24,16.45
NIFTY12850CE,2020/01/31,09:47,15.55
NIFTY12850CE,2020/01/31,09:50,15.0
NIFTY12850CE,2020/01/31,10:00,15.7
NIFTY12850CE,2020/01/31,10:02,17.8
NIFTY12850CE,2020/01/31,10:06,17.2
NIFTY12850CE,2020/01/31,10:07,17.2
NIFTY12850CE,2020/01/31,10:08,16.0
NIFTY12850CE,2020/01/31,10:23,13.1
NIFTY12850CE,2020/01/31,10:26,14.8
NIFTY12850CE,2020/01/31,10:28,14.95
NIFTY12850CE,2020/01/31,10:38,14.7
NIFTY12850CE,2020/01/31,10:54,14.7
NIFTY12850CE,2020/01/31,11:01,15.0
NIFTY12850CE,2020/01/31,11:02,15.7
NIFTY12850CE,2020/01/31,11:03,17.2
NIFTY12850CE,2020/01/31,11:05,15.0
NIFTY12850CE,2020/01/31,11:06,14.8
NIFTY12850CE,2020/01/31,11:07,15.0
NIFTY12850CE,2020/01/31,11:22,15.0
NIFTY12850CE,2020/01/31,11:26,14.5
NIFTY12850CE,2020/01/31,11:54,14.45
NIFTY12850CE,2020/01/31,12:07,14.0
NIFTY12850CE,2020/01/31,12:19,13.7
NIFTY12850CE,2020/01/31,12:33,13.7
NIFTY12850CE,2020/01/31,12:41,14.0
NIFTY12850CE,2020/01/31,12:43,14.25
NIFTY12850CE,2020/01/31,12:46,14.3
NIFTY12850CE,2020/01/31,13:06,14.0
NIFTY12850CE,2020/01/31,14:20,17.45
NIFTY12850CE,2020/01/31,14:24,17.0
NIFTY12850CE,2020/01/31,14:26,15.9
NIFTY12850CE,2020/01/31,14:32,14.5
NIFTY12850CE,2020/01/31,14:37,13.65
NIFTY12850CE,2020/01/31,14:38,16.45
NIFTY12850CE,2020/01/31,14:59,16.5
NIFTY12850CE,2020/01/31,15:02,14.0
NIFTY12850CE,2020/01/31,15:11,13.1
NIFTY12850CE,2020/01/31,15:13,13.15
NIFTY12850CE,2020/01/31,15:19,14.65
NIFTY12850CE,2020/01/31,15:20,14.15
NIFTY12850CE,2020/01/31,15:21,13.2
NIFTY12850CE,2020/01/31,15:24,14.0
NIFTY12850CE,2020/02/01,09:15,13.8
NIFTY12850CE,2020/02/01,09:16,17.9
NIFTY12850CE,2020/02/01,09:17,14.1
NIFTY12850CE,2020/02/01,09:22,13.4
NIFTY12850CE,2020/02/01,09:31,12.0
NIFTY12850CE,2020/02/01,09:36,12.0
NIFTY12850CE,2020/02/01,09:48,12.1
NIFTY12850CE,2020/02/01,09:52,15.65
NIFTY12850CE,2020/02/01,09:54,15.0
NIFTY12850CE,2020/02/01,09:55,14.45
NIFTY12850CE,2020/02/01,09:56,14.45
NIFTY12850CE,2020/02/01,10:05,13.85
NIFTY12850CE,2020/02/01,10:18,14.5
NIFTY12850CE,2020/02/01,10:23,11.5
NIFTY12850CE,2020/02/01,10:42,13.0
NIFTY12850CE,2020/02/01,10:46,13.75
NIFTY12850CE,2020/02/01,10:47,14.3
NIFTY12850CE,2020/02/01,10:57,12.35
NIFTY12850CE,2020/02/01,10:58,13.9
NIFTY12850CE,2020/02/01,11:03,12.35
NIFTY12850CE,2020/02/01,11:04,14.3
NIFTY12850CE,2020/02/01,11:09,15.85
NIFTY12850CE,2020/02/01,11:16,14.3
NIFTY12850CE,2020/02/01,11:26,12.6
NIFTY12850CE,2020/02/01,11:48,12.4
NIFTY12850CE,2020/02/01,11:53,12.4
