name,date,time,D
CE 10550,2019/01/01,09:19,409.9
CE 10550,2019/01/01,12:46,386.25
CE 10550,2019/01/01,13:56,381.0
CE 10550,2019/01/01,15:14,453.35
CE 10550,2019/01/02,09:54,419.1
CE 10550,2019/01/02,12:42,384.55
CE 10550,2019/01/02,14:34,362.4
CE 10550,2019/01/02,14:37,352.55
CE 10550,2019/01/03,09:43,380.5
CE 10550,2019/01/03,12:25,314.7
CE 10550,2019/01/03,12:30,311.15
CE 10550,2019/01/03,12:43,321.15
CE 10550,2019/01/03,12:49,318.75
CE 10550,2019/01/03,13:08,322.3
CE 10550,2019/01/03,13:09,324.25
CE 10550,2019/01/03,13:12,328.6
CE 10550,2019/01/03,13:20,328.85
CE 10550,2019/01/03,13:27,328.0
CE 10550,2019/01/03,13:30,320.75
CE 10550,2019/01/03,13:33,320.75
CE 10550,2019/01/03,13:38,304.15
CE 10550,2019/01/03,13:43,299.45
CE 10550,2019/01/03,13:57,301.15
CE 10550,2019/01/03,14:00,311.9
CE 10550,2019/01/03,14:03,305.15
CE 10550,2019/01/03,14:07,309.65
CE 10550,2019/01/03,14:21,296.4
CE 10550,2019/01/03,14:24,290.6
CE 10550,2019/01/03,14:27,290.35
CE 10550,2019/01/03,14:36,298.95
CE 10550,2019/01/03,14:41,294.1
CE 10550,2019/01/03,14:58,295.55
CE 10550,2019/01/03,15:01,293.0
CE 10550,2019/01/03,15:03,285.65
CE 10550,2019/01/03,15:04,295.3
CE 10550,2019/01/03,15:09,285.3
CE 10550,2019/01/03,15:11,287.25
CE 10550,2019/01/03,15:27,284.1
CE 10550,2019/01/03,15:30,284.1
CE 10550,2019/01/04,09:19,306.6
CE 10550,2019/01/04,09:20,320.85
CE 10550,2019/01/04,09:22,316.3
CE 10550,2019/01/04,09:24,317.6
CE 10550,2019/01/04,09:26,311.0
CE 10550,2019/01/04,09:29,301.2
CE 10550,2019/01/04,09:30,308.0
CE 10550,2019/01/04,09:42,285.0
CE 10550,2019/01/04,09:47,271.15
CE 10550,2019/01/04,09:48,272.5
