name,date,time,D
NIFTY11950PE,2019/07/01,09:18,212.85
NIFTY11950PE,2019/07/01,09:27,202.85
NIFTY11950PE,2019/07/01,09:29,197.8
NIFTY11950PE,2019/07/01,09:31,198.6
NIFTY11950PE,2019/07/01,09:32,200.65
NIFTY11950PE,2019/07/01,09:35,203.15
NIFTY11950PE,2019/07/01,09:36,205.45
NIFTY11950PE,2019/07/01,09:39,204.3
NIFTY11950PE,2019/07/01,09:40,205.6
NIFTY11950PE,2019/07/01,09:44,212.6
NIFTY11950PE,2019/07/01,09:45,208.35
NIFTY11950PE,2019/07/01,09:49,206.2
NIFTY11950PE,2019/07/01,09:53,206.8
NIFTY11950PE,2019/07/01,09:59,206.3
NIFTY11950PE,2019/07/01,10:01,207.75
NIFTY11950PE,2019/07/01,10:06,205.7
NIFTY11950PE,2019/07/01,10:09,205.6
NIFTY11950PE,2019/07/01,10:14,207.25
NIFTY11950PE,2019/07/01,10:15,207.25
NIFTY11950PE,2019/07/01,10:18,207.8
NIFTY11950PE,2019/07/01,10:22,211.15
NIFTY11950PE,2019/07/01,10:43,201.65
NIFTY11950PE,2019/07/01,10:52,204.45
NIFTY11950PE,2019/07/01,10:59,200.0
NIFTY11950PE,2019/07/01,11:00,200.0
NIFTY11950PE,2019/07/01,11:02,200.0
NIFTY11950PE,2019/07/01,11:04,199.5
NIFTY11950PE,2019/07/01,11:07,194.05
NIFTY11950PE,2019/07/01,11:10,194.0
NIFTY11950PE,2019/07/01,11:12,191.0
NIFTY11950PE,2019/07/01,11:13,191.0
NIFTY11950PE,2019/07/01,11:20,192.4
NIFTY11950PE,2019/07/01,11:24,192.8
NIFTY11950PE,2019/07/01,11:29,191.9
NIFTY11950PE,2019/07/01,11:30,191.0
NIFTY11950PE,2019/07/01,11:33,190.0
NIFTY11950PE,2019/07/01,11:46,194.0
NIFTY11950PE,2019/07/01,11:49,193.0
NIFTY11950PE,2019/07/01,11:50,194.05
NIFTY11950PE,2019/07/01,11:58,196.0
NIFTY11950PE,2019/07/01,11:59,193.3
NIFTY11950PE,2019/07/01,12:44,192.35
NIFTY11950PE,2019/07/01,12:52,191.0
NIFTY11950PE,2019/07/01,13:17,190.0
NIFTY11950PE,2019/07/01,13:23,193.7
NIFTY11950PE,2019/07/01,13:26,197.1
NIFTY11950PE,2019/07/01,14:02,185.4
NIFTY11950PE,2019/07/01,14:17,181.85
NIFTY11950PE,2019/07/01,14:34,190.45
NIFTY11950PE,2019/07/01,14:45,190.0
NIFTY11950PE,2019/07/01,14:48,193.65
NIFTY11950PE,2019/07/01,14:58,193.65
NIFTY11950PE,2019/07/01,15:00,193.65
NIFTY11950PE,2019/07/01,15:20,192.5
NIFTY11950PE,2019/07/01,15:22,192.1
NIFTY11950PE,2019/07/01,15:23,190.3
NIFTY11950PE,2019/07/01,15:25,192.0
NIFTY11950PE,2019/07/01,15:26,191.65
NIFTY11950PE,2019/07/01,15:27,190.35
NIFTY11950PE,2019/07/01,15:29,191.0
NIFTY11950PE,2019/07/02,09:22,186.5
NIFTY11950PE,2019/07/02,09:24,187.85
NIFTY11950PE,2019/07/02,09:25,189.85
NIFTY11950PE,2019/07/02,09:26,193.45
NIFTY11950PE,2019/07/02,09:27,192.8
NIFTY11950PE,2019/07/02,09:28,192.2
NIFTY11950PE,2019/07/02,09:31,191.05
NIFTY11950PE,2019/07/02,09:32,189.55
NIFTY11950PE,2019/07/02,09:33,189.5
NIFTY11950PE,2019/07/02,09:34,189.15
NIFTY11950PE,2019/07/02,09:35,187.85
NIFTY11950PE,2019/07/02,09:38,190.1
NIFTY11950PE,2019/07/02,09:40,195.6
NIFTY11950PE,2019/07/02,09:45,193.65
NIFTY11950PE,2019/07/02,10:01,200.9
NIFTY11950PE,2019/07/02,10:05,208.25
NIFTY11950PE,2019/07/02,10:09,213.35
NIFTY11950PE,2019/07/02,10:10,213.0
NIFTY11950PE,2019/07/02,10:11,209.1
NIFTY11950PE,2019/07/02,10:15,210.15
NIFTY11950PE,2019/07/02,10:25,211.55
NIFTY11950PE,2019/07/02,10:27,210.0
NIFTY11950PE,2019/07/02,10:31,206.75
NIFTY11950PE,2019/07/02,10:42,213.35
NIFTY11950PE,2019/07/02,10:53,216.0
NIFTY11950PE,2019/07/02,10:55,221.0
NIFTY11950PE,2019/07/02,11:02,223.0
NIFTY11950PE,2019/07/02,11:08,215.35
NIFTY11950PE,2019/07/02,11:11,216.55
NIFTY11950PE,2019/07/02,11:15,215.0
NIFTY11950PE,2019/07/02,11:25,213.4
NIFTY11950PE,2019/07/02,11:30,210.1
NIFTY11950PE,2019/07/02,11:52,212.1
NIFTY11950PE,2019/07/02,12:03,206.0
NIFTY11950PE,2019/07/02,12:23,209.0
NIFTY11950PE,2019/07/02,12:24,208.95
NIFTY11950PE,2019/07/02,12:25,208.9
NIFTY11950PE,2019/07/02,14:31,175.3
NIFTY11950PE,2019/07/02,14:36,175.0
NIFTY11950PE,2019/07/02,14:42,175.0
NIFTY11950PE,2019/07/02,14:46,178.6
NIFTY11950PE,2019/07/02,14:53,175.75
NIFTY11950PE,2019/07/02,14:54,172.9
NIFTY11950PE,2019/07/02,15:00,170.0
NIFTY11950PE,2019/07/02,15:01,163.0
NIFTY11950PE,2019/07/02,15:19,166.0
NIFTY11950PE,2019/07/02,15:20,168.35
NIFTY11950PE,2019/07/02,15:21,167.45
NIFTY11950PE,2019/07/02,15:22,166.0
NIFTY11950PE,2019/07/02,15:23,166.8
NIFTY11950PE,2019/07/02,15:26,165.5
NIFTY11950PE,2019/07/02,15:28,164.15
NIFTY11950PE,2019/07/02,15:29,163.2
NIFTY11950PE,2019/07/03,09:15,150.0
NIFTY11950PE,2019/07/03,09:16,167.95
NIFTY11950PE,2019/07/03,09:17,165.9
NIFTY11950PE,2019/07/03,09:18,166.3
NIFTY11950PE,2019/07/03,09:19,167.1
NIFTY11950PE,2019/07/03,09:20,169.0
NIFTY11950PE,2019/07/03,09:22,166.4
NIFTY11950PE,2019/07/03,09:23,166.95
NIFTY11950PE,2019/07/03,09:24,163.3
NIFTY11950PE,2019/07/03,09:25,162.0
NIFTY11950PE,2019/07/03,09:26,159.1
NIFTY11950PE,2019/07/03,09:27,155.65
NIFTY11950PE,2019/07/03,09:28,156.5
NIFTY11950PE,2019/07/03,09:29,155.95
NIFTY11950PE,2019/07/03,09:30,156.2
NIFTY11950PE,2019/07/03,09:31,155.15
NIFTY11950PE,2019/07/03,09:32,156.9
NIFTY11950PE,2019/07/03,09:35,158.4
NIFTY11950PE,2019/07/03,09:36,157.0
NIFTY11950PE,2019/07/03,09:37,155.5
NIFTY11950PE,2019/07/03,09:40,158.0
NIFTY11950PE,2019/07/03,09:41,159.2
NIFTY11950PE,2019/07/03,09:43,159.35
NIFTY11950PE,2019/07/03,09:45,160.5
NIFTY11950PE,2019/07/03,09:46,162.6
NIFTY11950PE,2019/07/03,09:47,159.15
NIFTY11950PE,2019/07/03,09:49,160.35
NIFTY11950PE,2019/07/03,09:50,161.7
NIFTY11950PE,2019/07/03,09:51,162.0
NIFTY11950PE,2019/07/03,09:53,165.0
NIFTY11950PE,2019/07/03,09:56,161.1
NIFTY11950PE,2019/07/03,09:58,163.7
NIFTY11950PE,2019/07/03,09:59,166.0
NIFTY11950PE,2019/07/03,10:00,166.15
NIFTY11950PE,2019/07/03,10:02,166.8
NIFTY11950PE,2019/07/03,10:04,164.6
NIFTY11950PE,2019/07/03,10:05,164.45
NIFTY11950PE,2019/07/03,10:10,167.2
NIFTY11950PE,2019/07/03,10:13,164.1
NIFTY11950PE,2019/07/03,10:15,166.7
NIFTY11950PE,2019/07/03,10:17,163.05
NIFTY11950PE,2019/07/03,10:18,164.05
NIFTY11950PE,2019/07/03,10:19,165.5
NIFTY11950PE,2019/07/03,10:20,166.25
NIFTY11950PE,2019/07/03,10:31,160.85
NIFTY11950PE,2019/07/03,10:35,160.0
NIFTY11950PE,2019/07/03,10:36,159.1
NIFTY11950PE,2019/07/03,10:37,160.6
NIFTY11950PE,2019/07/03,10:45,158.05
NIFTY11950PE,2019/07/03,10:47,160.1
NIFTY11950PE,2019/07/03,10:53,159.0
NIFTY11950PE,2019/07/03,10:56,161.0
NIFTY11950PE,2019/07/03,10:58,161.5
NIFTY11950PE,2019/07/03,11:02,160.0
NIFTY11950PE,2019/07/03,11:16,159.95
NIFTY11950PE,2019/07/03,11:23,158.75
NIFTY11950PE,2019/07/03,11:30,159.2
NIFTY11950PE,2019/07/03,11:37,158.65
NIFTY11950PE,2019/07/03,11:39,162.0
NIFTY11950PE,2019/07/03,11:41,162.0
NIFTY11950PE,2019/07/03,11:53,160.9
NIFTY11950PE,2019/07/03,11:54,162.4
NIFTY11950PE,2019/07/03,11:59,163.05
NIFTY11950PE,2019/07/03,12:02,163.65
NIFTY11950PE,2019/07/03,12:04,164.55
