name,date,time,D
CE 11550,2019/03/05,09:54,5.35
CE 11550,2019/03/05,10:02,4.45
CE 11550,2019/03/05,13:41,6.0
CE 11550,2019/03/05,13:53,5.65
CE 11550,2019/03/05,13:54,5.7
CE 11550,2019/03/05,14:10,6.0
CE 11550,2019/03/05,14:11,6.0
CE 11550,2019/03/05,14:24,6.0
CE 11550,2019/03/05,14:28,6.5
CE 11550,2019/03/05,14:31,6.7
CE 11550,2019/03/05,14:35,7.0
CE 11550,2019/03/05,14:37,7.35
CE 11550,2019/03/05,14:41,8.0
CE 11550,2019/03/05,14:45,9.0
CE 11550,2019/03/05,14:54,9.1
CE 11550,2019/03/05,14:58,8.5
CE 11550,2019/03/05,15:01,8.35
CE 11550,2019/03/05,15:06,8.45
CE 11550,2019/03/05,15:09,8.7
CE 11550,2019/03/05,15:14,8.65
CE 11550,2019/03/05,15:15,8.6
CE 11550,2019/03/05,15:16,8.7
CE 11550,2019/03/05,15:19,8.9
CE 11550,2019/03/05,15:22,9.6
CE 11550,2019/03/05,15:23,9.6
CE 11550,2019/03/05,15:24,9.7
CE 11550,2019/03/05,15:25,9.55
CE 11550,2019/03/05,15:26,9.75
CE 11550,2019/03/05,15:29,9.75
CE 11550,2019/03/05,15:30,9.75
CE 11550,2019/03/06,09:18,10.7
CE 11550,2019/03/06,09:21,10.7
CE 11550,2019/03/06,09:23,10.4
CE 11550,2019/03/06,09:24,10.45
CE 11550,2019/03/06,09:47,10.35
CE 11550,2019/03/06,09:54,10.05
CE 11550,2019/03/06,09:55,9.95
CE 11550,2019/03/06,10:03,10.5
CE 11550,2019/03/06,10:07,10.55
CE 11550,2019/03/06,10:09,10.7
CE 11550,2019/03/06,10:19,9.75
CE 11550,2019/03/06,10:20,9.55
CE 11550,2019/03/06,10:21,9.4
CE 11550,2019/03/06,10:22,9.15
CE 11550,2019/03/06,10:23,9.05
CE 11550,2019/03/06,10:24,9.05
CE 11550,2019/03/06,10:25,8.9
CE 11550,2019/03/06,10:26,9.25
CE 11550,2019/03/06,10:39,10.0
CE 11550,2019/03/06,10:50,10.25
CE 11550,2019/03/06,10:52,10.45
CE 11550,2019/03/06,11:19,10.0
CE 11550,2019/03/06,11:20,10.0
CE 11550,2019/03/06,11:21,10.0
CE 11550,2019/03/06,11:29,10.05
CE 11550,2019/03/06,11:30,10.05
CE 11550,2019/03/06,11:56,9.8
CE 11550,2019/03/06,11:58,9.7
CE 11550,2019/03/06,12:24,10.3
CE 11550,2019/03/06,12:28,10.45
CE 11550,2019/03/06,12:29,10.7
CE 11550,2019/03/06,12:43,10.7
CE 11550,2019/03/06,12:53,10.75
CE 11550,2019/03/06,12:59,10.4
CE 11550,2019/03/06,13:03,10.2
CE 11550,2019/03/06,13:31,10.05
CE 11550,2019/03/06,13:38,10.45
CE 11550,2019/03/06,13:40,10.5
CE 11550,2019/03/06,13:52,10.25
CE 11550,2019/03/06,13:53,10.05
CE 11550,2019/03/06,14:15,10.45
CE 11550,2019/03/06,14:27,10.95
CE 11550,2019/03/06,14:31,11.0
CE 11550,2019/03/06,14:34,11.4
CE 11550,2019/03/06,14:36,11.25
CE 11550,2019/03/06,14:41,10.6
CE 11550,2019/03/06,14:45,11.0
CE 11550,2019/03/06,14:46,11.0
CE 11550,2019/03/06,15:00,11.2
CE 11550,2019/03/06,15:02,11.5
CE 11550,2019/03/06,15:06,11.4
CE 11550,2019/03/06,15:13,11.2
CE 11550,2019/03/06,15:17,11.15
CE 11550,2019/03/06,15:19,11.05
CE 11550,2019/03/06,15:20,11.2
CE 11550,2019/03/06,15:21,11.25
