name,date,time,D
NIFTY11850CE,2019/05/02,09:16,242.6
NIFTY11850CE,2019/05/02,09:17,242.45
NIFTY11850CE,2019/05/02,09:20,247.5
NIFTY11850CE,2019/05/02,09:21,241.05
NIFTY11850CE,2019/05/02,09:24,240.0
NIFTY11850CE,2019/05/02,09:26,236.0
NIFTY11850CE,2019/05/02,09:27,239.25
NIFTY11850CE,2019/05/02,09:28,235.95
NIFTY11850CE,2019/05/02,09:30,236.55
NIFTY11850CE,2019/05/02,09:31,239.3
NIFTY11850CE,2019/05/02,09:32,239.8
NIFTY11850CE,2019/05/02,09:38,245.1
NIFTY11850CE,2019/05/02,09:40,248.75
NIFTY11850CE,2019/05/02,09:43,260.3
NIFTY11850CE,2019/05/02,09:44,260.0
NIFTY11850CE,2019/05/02,09:45,261.3
NIFTY11850CE,2019/05/02,09:46,258.25
NIFTY11850CE,2019/05/02,09:47,259.0
NIFTY11850CE,2019/05/02,09:51,258.6
NIFTY11850CE,2019/05/02,09:54,253.75
NIFTY11850CE,2019/05/02,09:56,254.3
NIFTY11850CE,2019/05/02,09:57,255.0
NIFTY11850CE,2019/05/02,10:05,257.45
NIFTY11850CE,2019/05/02,10:06,270.7
NIFTY11850CE,2019/05/02,10:10,279.15
NIFTY11850CE,2019/05/02,10:11,279.0
NIFTY11850CE,2019/05/02,10:15,284.5
NIFTY11850CE,2019/05/02,10:16,285.1
NIFTY11850CE,2019/05/02,10:18,289.0
NIFTY11850CE,2019/05/02,10:19,291.5
NIFTY11850CE,2019/05/02,10:20,289.95
NIFTY11850CE,2019/05/02,10:21,287.75
NIFTY11850CE,2019/05/02,10:23,283.95
NIFTY11850CE,2019/05/02,10:24,283.5
NIFTY11850CE,2019/05/02,10:32,286.1
NIFTY11850CE,2019/05/02,10:33,283.1
NIFTY11850CE,2019/05/02,10:34,283.75
NIFTY11850CE,2019/05/02,10:35,283.75
NIFTY11850CE,2019/05/02,10:48,290.3
NIFTY11850CE,2019/05/02,10:55,280.5
NIFTY11850CE,2019/05/02,10:56,275.45
NIFTY11850CE,2019/05/02,10:57,278.7
NIFTY11850CE,2019/05/02,11:03,278.6
NIFTY11850CE,2019/05/02,11:07,279.65
NIFTY11850CE,2019/05/02,11:25,275.15
NIFTY11850CE,2019/05/02,11:38,275.05
NIFTY11850CE,2019/05/02,11:39,275.9
NIFTY11850CE,2019/05/02,11:42,272.0
NIFTY11850CE,2019/05/02,11:47,272.05
NIFTY11850CE,2019/05/02,11:54,272.5
NIFTY11850CE,2019/05/02,12:01,268.6
NIFTY11850CE,2019/05/02,12:04,269.45
NIFTY11850CE,2019/05/02,12:05,269.45
NIFTY11850CE,2019/05/02,12:06,269.85
NIFTY11850CE,2019/05/02,12:21,272.25
NIFTY11850CE,2019/05/02,12:34,267.25
NIFTY11850CE,2019/05/02,12:36,269.6
NIFTY11850CE,2019/05/02,12:37,273.5
NIFTY11850CE,2019/05/02,12:56,265.4
NIFTY11850CE,2019/05/02,12:58,260.2
NIFTY11850CE,2019/05/02,13:03,257.0
NIFTY11850CE,2019/05/02,13:07,264.05
NIFTY11850CE,2019/05/02,13:11,256.7
NIFTY11850CE,2019/05/02,13:14,250.35
NIFTY11850CE,2019/05/02,13:19,250.45
NIFTY11850CE,2019/05/02,13:23,259.6
NIFTY11850CE,2019/05/02,13:26,258.2
