name,date,time,D
NIFTY11850PE,2019/10/11,09:26,534.05
NIFTY11850PE,2019/10/11,14:00,538.7
NIFTY11850PE,2019/10/14,09:21,544.3
NIFTY11850PE,2019/10/14,09:51,520.0
NIFTY11850PE,2019/10/15,12:16,425.0
NIFTY11850PE,2019/10/15,12:17,445.0
NIFTY11850PE,2019/10/15,12:24,447.5
NIFTY11850PE,2019/10/16,09:26,413.95
NIFTY11850PE,2019/10/16,09:29,415.8
NIFTY11850PE,2019/10/16,09:40,392.35
NIFTY11850PE,2019/10/16,09:43,389.05
NIFTY11850PE,2019/10/16,09:45,398.2
NIFTY11850PE,2019/10/16,09:46,408.05
NIFTY11850PE,2019/10/16,09:47,400.85
NIFTY11850PE,2019/10/16,10:10,438.6
NIFTY11850PE,2019/10/16,12:16,412.7
NIFTY11850PE,2019/10/16,15:26,390.6
NIFTY11850PE,2019/10/17,10:44,382.95
NIFTY11850PE,2019/10/17,11:49,405.45
NIFTY11850PE,2019/10/17,13:13,334.55
NIFTY11850PE,2019/10/17,13:34,332.25
NIFTY11850PE,2019/10/17,14:08,320.0
NIFTY11850PE,2019/10/17,14:36,313.1
NIFTY11850PE,2019/10/17,14:46,301.45
NIFTY11850PE,2019/10/17,14:47,301.25
NIFTY11850PE,2019/10/17,15:04,290.0
NIFTY11850PE,2019/10/17,15:05,285.0
NIFTY11850PE,2019/10/18,09:40,269.3
NIFTY11850PE,2019/10/18,09:47,280.0
NIFTY11850PE,2019/10/18,09:48,273.8
NIFTY11850PE,2019/10/18,09:58,265.45
NIFTY11850PE,2019/10/18,10:01,259.6
NIFTY11850PE,2019/10/18,10:16,273.0
NIFTY11850PE,2019/10/18,10:36,262.0
NIFTY11850PE,2019/10/18,10:46,253.95
NIFTY11850PE,2019/10/18,10:51,259.15
NIFTY11850PE,2019/10/18,11:23,255.75
NIFTY11850PE,2019/10/18,11:55,255.05
NIFTY11850PE,2019/10/18,15:00,235.65
NIFTY11850PE,2019/10/22,09:29,220.0
NIFTY11850PE,2019/10/22,10:11,225.9
NIFTY11850PE,2019/10/22,10:27,247.5
NIFTY11850PE,2019/10/22,10:28,240.0
NIFTY11850PE,2019/10/22,10:31,240.0
NIFTY11850PE,2019/10/22,10:34,239.0
NIFTY11850PE,2019/10/22,10:48,244.45
NIFTY11850PE,2019/10/22,11:46,229.1
NIFTY11850PE,2019/10/22,12:09,207.4
NIFTY11850PE,2019/10/22,14:39,252.05
NIFTY11850PE,2019/10/22,15:29,258.0
NIFTY11850PE,2019/10/23,09:17,257.35
NIFTY11850PE,2019/10/23,09:45,272.3
NIFTY11850PE,2019/10/23,10:21,227.5
NIFTY11850PE,2019/10/23,10:23,234.0
NIFTY11850PE,2019/10/23,11:27,220.95
NIFTY11850PE,2019/10/23,11:44,220.0
NIFTY11850PE,2019/10/23,13:35,211.4
NIFTY11850PE,2019/10/23,13:38,215.95
NIFTY11850PE,2019/10/23,14:16,231.0
NIFTY11850PE,2019/10/23,14:40,237.0
NIFTY11850PE,2019/10/24,09:18,205.5
NIFTY11850PE,2019/10/24,09:45,225.0
NIFTY11850PE,2019/10/24,09:46,225.0
NIFTY11850PE,2019/10/24,09:58,233.9
NIFTY11850PE,2019/10/24,10:30,274.4
NIFTY11850PE,2019/10/24,11:25,270.5
NIFTY11850PE,2019/10/24,12:00,256.0
NIFTY11850PE,2019/10/24,12:04,246.5
NIFTY11850PE,2019/10/24,12:45,240.0
NIFTY11850PE,2019/10/24,12:46,235.0
NIFTY11850PE,2019/10/24,13:26,280.5
NIFTY11850PE,2019/10/24,13:30,284.5
NIFTY11850PE,2019/10/24,13:36,279.0
NIFTY11850PE,2019/10/24,14:43,258.05
NIFTY11850PE,2019/10/24,14:56,268.0
NIFTY11850PE,2019/10/24,15:28,252.8
NIFTY11850PE,2019/10/24,15:29,250.65
NIFTY11850PE,2019/10/25,09:15,252.8
NIFTY11850PE,2019/10/25,09:16,274.5
NIFTY11850PE,2019/10/25,09:24,271.15
NIFTY11850PE,2019/10/25,09:28,259.25
NIFTY11850PE,2019/10/25,09:31,263.4
NIFTY11850PE,2019/10/25,09:37,249.25
NIFTY11850PE,2019/10/25,09:38,247.25
NIFTY11850PE,2019/10/25,09:44,251.25
NIFTY11850PE,2019/10/25,09:46,236.5
NIFTY11850PE,2019/10/25,09:47,239.4
NIFTY11850PE,2019/10/25,09:48,239.0
NIFTY11850PE,2019/10/25,09:52,244.05
NIFTY11850PE,2019/10/25,09:54,244.5
NIFTY11850PE,2019/10/25,09:55,245.85
NIFTY11850PE,2019/10/25,10:03,264.0
NIFTY11850PE,2019/10/25,10:05,265.1
NIFTY11850PE,2019/10/25,10:07,269.35
NIFTY11850PE,2019/10/25,10:08,268.1
NIFTY11850PE,2019/10/25,10:24,280.0
NIFTY11850PE,2019/10/25,11:00,260.0
NIFTY11850PE,2019/10/25,11:05,254.9
NIFTY11850PE,2019/10/25,12:05,268.5
NIFTY11850PE,2019/10/25,12:09,269.3
NIFTY11850PE,2019/10/25,12:10,270.0
NIFTY11850PE,2019/10/25,12:11,270.0
NIFTY11850PE,2019/10/25,12:41,290.55
NIFTY11850PE,2019/10/25,12:42,310.95
NIFTY11850PE,2019/10/25,12:43,320.0
NIFTY11850PE,2019/10/25,13:00,344.0
NIFTY11850PE,2019/10/25,13:17,342.95
NIFTY11850PE,2019/10/25,13:57,316.4
NIFTY11850PE,2019/10/25,14:18,304.55
NIFTY11850PE,2019/10/25,14:38,250.0
NIFTY11850PE,2019/10/25,14:40,226.0
NIFTY11850PE,2019/10/25,14:42,237.45
NIFTY11850PE,2019/10/25,14:46,239.1
NIFTY11850PE,2019/10/25,14:57,234.0
NIFTY11850PE,2019/10/25,15:00,232.55
NIFTY11850PE,2019/10/25,15:01,230.0
NIFTY11850PE,2019/10/25,15:03,240.15
NIFTY11850PE,2019/10/25,15:05,250.5
NIFTY11850PE,2019/10/25,15:16,250.0
NIFTY11850PE,2019/10/25,15:18,251.0
NIFTY11850PE,2019/10/25,15:24,252.0
NIFTY11850PE,2019/10/27,18:17,269.45
NIFTY11850PE,2019/10/27,18:19,253.0
NIFTY11850PE,2019/10/27,18:20,225.0
NIFTY11850PE,2019/10/27,18:23,220.1
NIFTY11850PE,2019/10/27,18:24,226.7
NIFTY11850PE,2019/10/27,18:32,226.7
NIFTY11850PE,2019/10/27,18:36,226.7
NIFTY11850PE,2019/10/27,18:45,228.2
NIFTY11850PE,2019/10/27,18:54,228.2
NIFTY11850PE,2019/10/27,19:02,255.0
NIFTY11850PE,2019/10/27,19:03,230.5
NIFTY11850PE,2019/10/27,19:12,225.1
NIFTY11850PE,2019/10/29,09:15,201.6
NIFTY11850PE,2019/10/29,09:17,213.25
NIFTY11850PE,2019/10/29,09:23,191.95
NIFTY11850PE,2019/10/29,09:26,201.05
NIFTY11850PE,2019/10/29,09:29,210.35
NIFTY11850PE,2019/10/29,09:30,215.0
NIFTY11850PE,2019/10/29,09:35,200.0
NIFTY11850PE,2019/10/29,09:45,195.0
NIFTY11850PE,2019/10/29,09:54,183.0
NIFTY11850PE,2019/10/29,09:55,182.75
NIFTY11850PE,2019/10/29,09:57,173.95
NIFTY11850PE,2019/10/29,09:59,175.7
NIFTY11850PE,2019/10/29,10:00,171.85
NIFTY11850PE,2019/10/29,10:01,167.85
NIFTY11850PE,2019/10/29,10:02,169.85
NIFTY11850PE,2019/10/29,10:05,175.0
NIFTY11850PE,2019/10/29,10:06,163.6
NIFTY11850PE,2019/10/29,10:08,158.7
NIFTY11850PE,2019/10/29,10:10,157.0
NIFTY11850PE,2019/10/29,10:11,151.0
NIFTY11850PE,2019/10/29,10:13,161.85
NIFTY11850PE,2019/10/29,10:14,163.0
NIFTY11850PE,2019/10/29,10:15,155.45
NIFTY11850PE,2019/10/29,10:17,147.85
NIFTY11850PE,2019/10/29,10:18,147.1
NIFTY11850PE,2019/10/29,10:21,145.0
NIFTY11850PE,2019/10/29,10:22,152.95
NIFTY11850PE,2019/10/29,10:24,150.0
NIFTY11850PE,2019/10/29,10:25,147.3
NIFTY11850PE,2019/10/29,10:28,151.25
NIFTY11850PE,2019/10/29,10:29,155.9
NIFTY11850PE,2019/10/29,10:30,152.9
NIFTY11850PE,2019/10/29,10:31,152.9
NIFTY11850PE,2019/10/29,10:34,144.9
NIFTY11850PE,2019/10/29,10:35,141.6
NIFTY11850PE,2019/10/29,10:37,146.15
NIFTY11850PE,2019/10/29,10:40,148.5
NIFTY11850PE,2019/10/29,10:42,145.15
NIFTY11850PE,2019/10/29,10:44,142.1
NIFTY11850PE,2019/10/29,10:45,140.4
NIFTY11850PE,2019/10/29,10:46,143.9
NIFTY11850PE,2019/10/29,10:47,143.4
NIFTY11850PE,2019/10/29,10:49,145.05
NIFTY11850PE,2019/10/29,10:50,140.3
