name,date,time,D
NIFTY11750CE,2019/09/03,09:15,5.0
NIFTY11750CE,2019/09/03,13:16,5.5
NIFTY11750CE,2019/09/04,15:29,12.0
NIFTY11750CE,2019/09/05,09:28,0.6
NIFTY11750CE,2019/09/05,10:06,2.4
NIFTY11750CE,2019/09/05,10:08,3.5
NIFTY11750CE,2019/09/05,14:50,2.5
NIFTY11750CE,2019/09/05,15:12,2.5
NIFTY11750CE,2019/09/05,15:13,2.55
NIFTY11750CE,2019/09/06,09:15,3.3
NIFTY11750CE,2019/09/06,09:29,2.7
NIFTY11750CE,2019/09/06,09:39,2.6
NIFTY11750CE,2019/09/06,10:11,3.0
NIFTY11750CE,2019/09/06,10:14,2.85
NIFTY11750CE,2019/09/06,10:15,2.85
NIFTY11750CE,2019/09/06,10:18,2.85
NIFTY11750CE,2019/09/06,10:22,3.0
NIFTY11750CE,2019/09/06,10:59,3.0
NIFTY11750CE,2019/09/06,11:34,3.85
NIFTY11750CE,2019/09/06,11:36,3.85
NIFTY11750CE,2019/09/06,12:16,2.7
NIFTY11750CE,2019/09/06,13:08,3.0
NIFTY11750CE,2019/09/06,13:10,3.0
NIFTY11750CE,2019/09/06,13:14,3.0
NIFTY11750CE,2019/09/06,14:57,2.7
NIFTY11750CE,2019/09/06,14:58,2.7
NIFTY11750CE,2019/09/06,15:12,2.75
NIFTY11750CE,2019/09/06,15:16,2.75
NIFTY11750CE,2019/09/09,09:22,2.5
NIFTY11750CE,2019/09/09,10:19,2.05
NIFTY11750CE,2019/09/11,09:36,3.35
NIFTY11750CE,2019/09/11,10:34,2.3
NIFTY11750CE,2019/09/11,10:47,2.2
NIFTY11750CE,2019/09/11,10:57,2.5
NIFTY11750CE,2019/09/11,10:58,2.3
NIFTY11750CE,2019/09/11,11:20,2.3
NIFTY11750CE,2019/09/11,11:21,2.3
NIFTY11750CE,2019/09/11,15:00,2.1
NIFTY11750CE,2019/09/11,15:07,2.1
NIFTY11750CE,2019/09/11,15:24,3.15
NIFTY11750CE,2019/09/12,11:09,2.95
NIFTY11750CE,2019/09/12,13:09,1.75
NIFTY11750CE,2019/09/12,13:14,2.1
NIFTY11750CE,2019/09/12,13:15,2.1
NIFTY11750CE,2019/09/12,13:16,2.1
NIFTY11750CE,2019/09/12,13:42,2.15
NIFTY11750CE,2019/09/12,14:41,1.7
NIFTY11750CE,2019/09/12,14:54,1.7
NIFTY11750CE,2019/09/12,14:55,1.7
NIFTY11750CE,2019/09/12,14:57,1.75
NIFTY11750CE,2019/09/12,14:58,2.15
NIFTY11750CE,2019/09/13,11:57,2.4
NIFTY11750CE,2019/09/13,11:59,1.35
NIFTY11750CE,2019/09/13,12:19,1.8
NIFTY11750CE,2019/09/13,12:20,1.5
NIFTY11750CE,2019/09/13,14:03,1.55
NIFTY11750CE,2019/09/13,14:18,1.8
NIFTY11750CE,2019/09/13,14:25,1.5
NIFTY11750CE,2019/09/13,14:51,1.75
NIFTY11750CE,2019/09/13,15:03,1.75
NIFTY11750CE,2019/09/13,15:14,1.3
NIFTY11750CE,2019/09/13,15:21,1.65
NIFTY11750CE,2019/09/13,15:24,1.55
NIFTY11750CE,2019/09/13,15:25,1.5
NIFTY11750CE,2019/09/13,15:26,1.65
NIFTY11750CE,2019/09/17,12:10,0.9
NIFTY11750CE,2019/09/17,13:53,1.0
NIFTY11750CE,2019/09/17,14:12,0.9
NIFTY11750CE,2019/09/17,14:42,1.0
NIFTY11750CE,2019/09/17,15:24,1.4
NIFTY11750CE,2019/09/18,15:16,0.6
NIFTY11750CE,2019/09/19,09:38,0.85
NIFTY11750CE,2019/09/19,10:39,0.9
NIFTY11750CE,2019/09/19,10:49,0.9
NIFTY11750CE,2019/09/19,11:58,1.95
NIFTY11750CE,2019/09/19,12:18,0.85
